url:https://www.shellecomarathon.com
Name,Sum of unique site visitors,Sum of visitors requiring consent,Sum of consented visitors,Sum of newly consented visitors,Calculated value of users who declined consent/took no action,Consent Rate
Albania,2,2,0,0,2,0.0%
Algeria,2,2,0,0,2,0.0%
Anguilla,0,0,0,0,0,0
Antigua & Barbuda,0,0,0,0,0,0
Argentina,38,38,8,4,30,21.05%
Armenia,3,3,1,0,2,33.33%
Aruba,0,0,0,0,0,0
Australia,56,56,13,8,43,23.21%
Austria,8,8,2,2,6,25.0%
Bahamas,0,0,0,0,0,0
Barbados,0,0,0,0,0,0
Belarus,0,0,0,0,0,0
Belgium,35,35,8,4,27,22.86%
Belize,0,0,0,0,0,0
Bermuda,0,0,0,0,0,0
Bolivia,64,64,46,13,18,71.88%
Bosnia & Herzegovina,0,0,0,0,0,0
Brazil,24890,24890,802,229,24088,3.22%
British Virgin Islands,0,0,0,0,0,0
Brunei,41,41,23,3,18,56.1%
Bulgaria,12,12,7,4,5,58.33%
Cambodia,0,0,0,0,0,0
Canada,156,156,57,20,99,36.54%
Cayman Islands,0,0,0,0,0,0
Chile,8,8,2,0,6,25.0%
China,113,113,75,22,38,66.37%
Colombia,152,152,64,21,88,42.11%
Costa Rica,1,1,0,0,1,0.0%
Croatia,4,4,2,0,2,50.0%
Cyprus,1,1,1,0,0,100.0%
Czech Republic,5,5,2,1,3,40.0%
Democratic Republic of the Congo,0,0,0,0,0,0
Denmark,32,32,9,2,23,28.12%
Dominica,0,0,0,0,0,0
Dominican Republic,2,2,0,0,2,0.0%
Ecuador,2,2,1,1,1,50.0%
Egypt,207,207,83,30,124,40.1%
El Salvador,0,0,0,0,0,0
Estonia,13,13,0,0,13,0.0%
Finland,8,8,0,0,8,0.0%
France,119,119,38,13,81,31.93%
French Guiana,0,0,0,0,0,0
French Polynesia,0,0,0,0,0,0
Gabon,0,0,0,0,0,0
Georgia,1,1,0,0,1,0.0%
Germany,2161,2161,68,22,2093,3.15%
Gibraltar,0,0,0,0,0,0
Greece,39,39,10,4,29,25.64%
Grenada,0,0,0,0,0,0
Guadeloupe,0,0,0,0,0,0
Guatemala,4,4,1,0,3,25.0%
Guernsey,0,0,0,0,0,0
Guyana,0,0,0,0,0,0
Haiti,0,0,0,0,0,0
Honduras,0,0,0,0,0,0
Hong Kong,16,16,6,3,10,37.5%
Hungary,34,34,14,3,20,41.18%
Iceland,1,1,0,0,1,0.0%
India,622,622,315,74,307,50.64%
Indonesia,709,709,392,63,317,55.29%
Ireland,95,95,7,4,88,7.37%
Isle of Man,0,0,0,0,0,0
Israel,0,0,0,0,0,0
Italy,66,66,22,5,44,33.33%
Jamaica,1,1,0,0,1,0.0%
Japan,38,38,19,2,19,50.0%
Jersey,0,0,0,0,0,0
Laos,0,0,0,0,0,0
Latvia,6,6,4,1,2,66.67%
Libya,0,0,0,0,0,0
Liechtenstein,0,0,0,0,0,0
Lithuania,4,4,2,2,2,50.0%
Luxembourg,2,2,1,1,1,50.0%
Macedonia,0,0,0,0,0,0
Malaysia,153,153,56,22,97,36.6%
Malta,4,4,2,1,2,50.0%
Martinique,0,0,0,0,0,0
Mauritius,1,1,0,0,1,0.0%
Mayotte,0,0,0,0,0,0
Mexico,231,231,129,28,102,55.84%
Moldova,0,0,0,0,0,0
Morroco,23,23,13,3,10,56.52%
Myanmar,0,0,0,0,0,0
Nepal,6,6,2,1,4,33.33%
Netherlands,165,165,79,13,86,47.88%
Netherlands Antilles,0,0,0,0,0,0
New Zealand,4,4,1,0,3,25.0%
Nicaragua,0,0,0,0,0,0
Nigeria,11,11,3,1,8,27.27%
